time (s)	det(V)
4361.251593	0.001898	
4361.253590	-0.002284	
4361.255590	-0.002241	
4361.257590	-0.001908	
4361.259589	-0.004092	
4361.261589	-0.001229	
4361.263590	-0.000890	
4361.265590	-0.003656	
4361.269590	0.000414	
4361.271590	-0.003964	
4361.273590	-0.002400	
4361.275590	-0.003144	
4361.277589	-0.002419	
4361.279588	0.000668	
4361.283588	-0.000530	
4361.285589	-0.000371	
4361.287590	-0.004255	
4361.291590	-0.003731	
4361.293588	-0.002903	
4361.295590	0.001554	
4361.297590	0.002473	
4361.299589	0.002427	
4361.303589	0.004773	
4361.305589	-0.002295	
4361.309590	-0.000297	
4361.311591	0.002964	
4361.313590	0.004875	
4361.315590	0.004486	
4361.317590	0.007793	
4361.321589	0.006933	
4361.323589	0.003212	
4361.325589	0.001855	
4361.329590	0.003274	
4361.331590	0.009516	
4361.333589	0.010467	
4361.335588	0.011997	
4361.337591	0.009692	
4361.341589	0.009767	
4361.343589	0.008224	
4361.347590	0.011678	
4361.349590	0.016023	
4361.351590	0.020499	
4361.353590	0.017234	
4361.355590	0.016343	
4361.359589	0.019853	
4361.361590	0.018950	
4361.363590	0.023676	
4361.367589	0.022881	
4361.369590	0.028241	
4361.371590	0.026878	
4361.373592	0.029472	
4361.375588	0.029716	
4361.377590	0.031691	
4361.381589	0.035309	
4361.385590	0.037877	
4361.387590	0.040954	
4361.389590	0.043202	
4361.391589	0.045699	
4361.393589	0.045311	
4361.397588	0.051933	
4361.399589	0.054394	
4361.401590	0.061281	
4361.403590	0.059677	
4361.405590	0.061647	
4361.407590	0.067346	
4361.409590	0.068629	
4361.411588	0.074101	
4361.413589	0.080713	
4361.415589	0.083036	
4361.417589	0.086757	
4361.419594	0.090994	
4361.423588	0.091824	
4361.425590	0.101293	
4361.427590	0.108744	
4361.429590	0.118098	
4361.431590	0.122537	
4361.433590	0.129194	
4361.435588	0.137050	
4361.437591	0.138704	
4361.439590	0.144549	
4361.441590	0.151052	
4361.443588	0.158283	
4361.447590	0.169304	
4361.449590	0.187377	
4361.451589	0.200236	
4361.453590	0.205721	
4361.455591	0.213830	
4361.459589	0.225813	
4361.461589	0.246361	
4361.463589	0.260058	
4361.467590	0.271068	
4361.469590	0.299952	
4361.471590	0.310394	
4361.473591	0.325122	
4361.475590	0.337079	
4361.477588	0.354338	
